name,type,start_time,"mosi","miso"
"SPI","enable",7.47541858,,
"SPI","result",7.47541884,0xC2,0x00
"SPI","result",7.47541946,0x00,0x00
"SPI","result",7.4754206,0x00,0x00
"SPI","result",7.47542122,0x00,0x00
"SPI","disable",7.4754221,,
"SPI","enable",7.4754237,,
"SPI","result",7.47542398,0xC2,0x00
"SPI","result",7.4754246,0x00,0x00
"SPI","result",7.47542572,0x00,0x00
"SPI","result",7.47542634,0x00,0x00
"SPI","disable",7.47542722,,
"SPI","enable",7.47542882,,
"SPI","result",7.4754291,0xC2,0x00
"SPI","result",7.47542972,0x00,0x00
"SPI","result",7.47543084,0x00,0x00
"SPI","result",7.47543146,0x00,0x00
"SPI","disable",7.47543234,,
"SPI","enable",7.4854017,,
"SPI","result",7.48540196,0xDA,0x00
"SPI","result",7.48540258,0x00,0x00
"SPI","result",7.4854037,0x00,0x00
"SPI","result",7.48540434,0x00,0x00
"SPI","disable",7.4854052,,
"SPI","enable",7.4854181,,
"SPI","result",7.48541836,0xC2,0x00
"SPI","result",7.48541898,0x00,0x00
"SPI","result",7.48542012,0x00,0x00
"SPI","result",7.48542074,0x00,0x00
"SPI","disable",7.48542162,,
"SPI","enable",7.48542322,,
"SPI","result",7.48542348,0xC2,0x00
"SPI","result",7.48542412,0x00,0x00
"SPI","result",7.48542524,0x00,0x00
"SPI","result",7.48542586,0x00,0x00
"SPI","disable",7.48542674,,
"SPI","enable",7.48542834,,
"SPI","result",7.48542862,0xC2,0x00
"SPI","result",7.48542924,0x00,0x00
"SPI","result",7.48543036,0x00,0x00
"SPI","result",7.48543098,0x00,0x00
"SPI","disable",7.48543186,,
"SPI","enable",7.4954015,,
"SPI","result",7.49540176,0xDA,0x00
"SPI","result",7.49540238,0x00,0x00
"SPI","result",7.4954035,0x00,0x00
"SPI","result",7.49540414,0x00,0x00
"SPI","disable",7.495405,,
"SPI","enable",7.4954179,,
"SPI","result",7.49541816,0xC2,0x00
"SPI","result",7.49541878,0x00,0x00
"SPI","result",7.49541992,0x00,0x00
"SPI","result",7.49542054,0x00,0x00
"SPI","disable",7.49542142,,
"SPI","enable",7.49542302,,
"SPI","result",7.4954233,0xC2,0x00
"SPI","result",7.49542392,0x00,0x00
"SPI","result",7.49542504,0x00,0x00
"SPI","result",7.49542566,0x00,0x00
"SPI","disable",7.49542654,,
"SPI","enable",7.49542814,,
"SPI","result",7.49542842,0xC2,0x00
"SPI","result",7.49542904,0x00,0x00
"SPI","result",7.49543016,0x00,0x00
"SPI","result",7.49543078,0x00,0x00
"SPI","disable",7.49543166,,
"SPI","enable",7.50540148,,
"SPI","result",7.50540174,0xDA,0x00
"SPI","result",7.50540238,0x00,0x00
"SPI","result",7.5054035,0x00,0x00
"SPI","result",7.50540412,0x00,0x00
"SPI","disable",7.505405,,
"SPI","enable",7.50541788,,
"SPI","result",7.50541816,0xC2,0x00
"SPI","result",7.50541878,0x00,0x00
"SPI","result",7.5054199,0x00,0x00
"SPI","result",7.50542052,0x00,0x00
"SPI","disable",7.5054214,,
"SPI","enable",7.50542302,,
"SPI","result",7.50542328,0xC2,0x00
"SPI","result",7.5054239,0x00,0x00
"SPI","result",7.50542502,0x00,0x00
"SPI","result",7.50542566,0x00,0x00
"SPI","disable",7.50542652,,
"SPI","enable",7.50542814,,
"SPI","result",7.5054284,0xC2,0x00
"SPI","result",7.50542902,0x00,0x00
"SPI","result",7.50543016,0x00,0x00
"SPI","result",7.50543078,0x00,0x00
"SPI","disable",7.50543166,,
"SPI","enable",7.51540138,,
"SPI","result",7.51540164,0xDA,0x00
"SPI","result",7.51540226,0x00,0x00
"SPI","result",7.5154034,0x00,0x00
"SPI","result",7.51540402,0x00,0x00
"SPI","disable",7.51540488,,
"SPI","enable",7.51541778,,
"SPI","result",7.51541804,0xC2,0x00
"SPI","result",7.51541868,0x00,0x00
"SPI","result",7.5154198,0x00,0x00
"SPI","result",7.51542042,0x00,0x00
"SPI","disable",7.5154213,,
"SPI","enable",7.5154229,,
"SPI","result",7.51542318,0xC2,0x00
"SPI","result",7.5154238,0x00,0x00
"SPI","result",7.51542492,0x00,0x00
"SPI","result",7.51542554,0x00,0x00
"SPI","disable",7.51542642,,
"SPI","enable",7.51542804,,
"SPI","result",7.5154283,0xC2,0x00
"SPI","result",7.51542892,0x00,0x00
"SPI","result",7.51543004,0x00,0x00
"SPI","result",7.51543068,0x00,0x00
"SPI","disable",7.51543154,,
"SPI","enable",7.52540126,,
"SPI","result",7.52540154,0xDA,0x00
"SPI","result",7.52540216,0x00,0x00
"SPI","result",7.52540328,0x00,0x00
"SPI","result",7.5254039,0x00,0x00
"SPI","disable",7.52540478,,
"SPI","enable",7.52541768,,
"SPI","result",7.52541794,0xC2,0x00
"SPI","result",7.52541856,0x00,0x00
"SPI","result",7.5254197,0x00,0x00
"SPI","result",7.52542032,0x00,0x00
"SPI","disable",7.52542118,,
"SPI","enable",7.5254228,,
"SPI","result",7.52542306,0xC2,0x00
"SPI","result",7.5254237,0x00,0x00
"SPI","result",7.52542482,0x00,0x00
"SPI","result",7.52542544,0x00,0x00
"SPI","disable",7.52542632,,
"SPI","enable",7.52542792,,
"SPI","result",7.5254282,0xC2,0x00
"SPI","result",7.52542882,0x00,0x00
"SPI","result",7.52542994,0x00,0x00
"SPI","result",7.52543056,0x00,0x00
"SPI","disable",7.52543144,,
"SPI","enable",7.53540116,,
"SPI","result",7.53540142,0xDA,0x00
"SPI","result",7.53540206,0x00,0x00
"SPI","result",7.53540318,0x00,0x00
"SPI","result",7.5354038,0x00,0x00
"SPI","disable",7.53540468,,
"SPI","enable",7.53541756,,
"SPI","result",7.53541784,0xC2,0x00
"SPI","result",7.53541846,0x00,0x00
"SPI","result",7.53541958,0x00,0x00
"SPI","result",7.5354202,0x00,0x00
"SPI","disable",7.53542108,,
"SPI","enable",7.5354227,,
"SPI","result",7.53542296,0xC2,0x00
"SPI","result",7.53542358,0x00,0x00
"SPI","result",7.5354247,0x00,0x00
"SPI","result",7.53542534,0x00,0x00
"SPI","disable",7.5354262,,
"SPI","enable",7.53542782,,
"SPI","result",7.53542808,0xC2,0x00
"SPI","result",7.5354287,0x00,0x00
"SPI","result",7.53542984,0x00,0x00
"SPI","result",7.53543046,0x00,0x00
"SPI","disable",7.53543134,,
"SPI","enable",7.54540106,,
"SPI","result",7.54540132,0xDA,0x00
"SPI","result",7.54540194,0x00,0x00
"SPI","result",7.54540308,0x00,0x00
"SPI","result",7.5454037,0x00,0x00
"SPI","disable",7.54540458,,
"SPI","enable",7.54541746,,
"SPI","result",7.54541772,0xC2,0x00
"SPI","result",7.54541836,0x00,0x00
"SPI","result",7.54541948,0x00,0x00
"SPI","result",7.5454201,0x00,0x00
"SPI","disable",7.54542098,,
"SPI","enable",7.54542258,,
"SPI","result",7.54542286,0xC2,0x00
"SPI","result",7.54542348,0x00,0x00
"SPI","result",7.5454246,0x00,0x00
"SPI","result",7.54542522,0x00,0x00
"SPI","disable",7.5454261,,
"SPI","enable",7.54542772,,
"SPI","result",7.54542798,0xC2,0x00
"SPI","result",7.5454286,0x00,0x00
"SPI","result",7.54542972,0x00,0x00
"SPI","result",7.54543036,0x00,0x00
"SPI","disable",7.54543122,,
"SPI","enable",7.55540096,,
"SPI","result",7.55540122,0xDA,0x00
"SPI","result",7.55540184,0x00,0x00
"SPI","result",7.55540296,0x00,0x00
"SPI","result",7.5554036,0x00,0x00
"SPI","disable",7.55540446,,
"SPI","enable",7.55541736,,
"SPI","result",7.55541762,0xC2,0x00
"SPI","result",7.55541824,0x00,0x00
"SPI","result",7.55541938,0x00,0x00
"SPI","result",7.55542,0x00,0x00
"SPI","disable",7.55542088,,
"SPI","enable",7.55542248,,
"SPI","result",7.55542274,0xC2,0x00
"SPI","result",7.55542338,0x00,0x00
"SPI","result",7.5554245,0x00,0x00
"SPI","result",7.55542512,0x00,0x00
"SPI","disable",7.555426,,
"SPI","enable",7.5554276,,
"SPI","result",7.55542788,0xC2,0x00
"SPI","result",7.5554285,0x00,0x00
"SPI","result",7.55542962,0x00,0x00
"SPI","result",7.55543024,0x00,0x00
"SPI","disable",7.55543112,,
"SPI","enable",7.56540084,,
"SPI","result",7.56540112,0xDA,0x00
"SPI","result",7.56540174,0x00,0x00
"SPI","result",7.56540286,0x00,0x00
"SPI","result",7.56540348,0x00,0x00
"SPI","disable",7.56540436,,
"SPI","enable",7.56541726,,
"SPI","result",7.56541752,0xC2,0x00
"SPI","result",7.56541814,0x00,0x00
"SPI","result",7.56541926,0x00,0x00
"SPI","result",7.5654199,0x00,0x00
"SPI","disable",7.56542076,,
"SPI","enable",7.56542238,,
"SPI","result",7.56542264,0xC2,0x00
"SPI","result",7.56542326,0x00,0x00
"SPI","result",7.5654244,0x00,0x00
"SPI","result",7.56542502,0x00,0x00
"SPI","disable",7.56542588,,
"SPI","enable",7.5654275,,
"SPI","result",7.56542776,0xC2,0x00
"SPI","result",7.5654284,0x00,0x00
"SPI","result",7.56542952,0x00,0x00
"SPI","result",7.56543014,0x00,0x00
"SPI","disable",7.56543102,,
"SPI","enable",7.57540074,,
"SPI","result",7.575401,0xDA,0x00
"SPI","result",7.57540162,0x00,0x00
"SPI","result",7.57540276,0x00,0x00
"SPI","result",7.57540338,0x00,0x00
"SPI","disable",7.57540426,,
"SPI","enable",7.57541714,,
"SPI","result",7.57541742,0xC2,0x00
"SPI","result",7.57541804,0x00,0x00
"SPI","result",7.57541916,0x00,0x00
"SPI","result",7.57541978,0x00,0x00
"SPI","disable",7.57542066,,
"SPI","enable",7.57542228,,
"SPI","result",7.57542254,0xC2,0x00
"SPI","result",7.57542316,0x00,0x00
"SPI","result",7.57542428,0x00,0x00
"SPI","result",7.57542492,0x00,0x00
"SPI","disable",7.57542578,,
"SPI","enable",7.5754274,,
"SPI","result",7.57542766,0xC2,0x00
"SPI","result",7.57542828,0x00,0x00
"SPI","result",7.57542942,0x00,0x00
"SPI","result",7.57543004,0x00,0x00
"SPI","disable",7.5754309,,
"SPI","enable",7.59540064,,
"SPI","result",7.5954009,0xDA,0x00
"SPI","result",7.59540152,0x00,0x00
"SPI","result",7.59540266,0x00,0x00
"SPI","result",7.59540328,0x00,0x00
"SPI","disable",7.59540416,,
"SPI","enable",7.5954054,,
"SPI","result",7.59540566,0xC2,0x00
"SPI","result",7.5954063,0x00,0x00
"SPI","result",7.59540742,0x00,0x00
"SPI","result",7.59540804,0x00,0x00
"SPI","disable",7.59540892,,
"SPI","enable",7.59541548,,
"SPI","result",7.59541574,0xC2,0x00
"SPI","result",7.59541638,0x00,0x00
"SPI","result",7.5954175,0x00,0x00
"SPI","result",7.59541812,0x00,0x00
"SPI","disable",7.595419,,
"SPI","enable",7.5954206,,
"SPI","result",7.59542088,0xC2,0x00
"SPI","result",7.5954215,0x00,0x00
"SPI","result",7.59542262,0x00,0x00
"SPI","result",7.59542324,0x00,0x00
"SPI","disable",7.59542412,,
"SPI","enable",7.59542572,,
"SPI","result",7.595426,0xC2,0x00
"SPI","result",7.59542662,0x00,0x00
"SPI","result",7.59542774,0x00,0x00
"SPI","result",7.59542836,0x00,0x00
"SPI","disable",7.59542924,,
"SPI","enable",8.4356747,,
"SPI","result",8.43567496,0xDA,0x3F
"SPI","result",8.43567558,0x00,0xFF
"SPI","result",8.4356767,0x00,0xFF
"SPI","result",8.43567734,0x00,0xFF
"SPI","disable",8.4356782,,
"SPI","enable",8.43567964,,
"SPI","result",8.4356799,0xCD,0xE1
"SPI","result",8.43568052,0x00,0xE1
"SPI","result",8.43568164,0x00,0x00
"SPI","result",8.43568226,0x00,0x40
"SPI","disable",8.43568314,,
"SPI","enable",8.43568384,,
"SPI","result",8.4356841,0x4D,0x40
"SPI","result",8.43568472,0x00,0x40
"SPI","result",8.43568584,0x00,0x40
"SPI","result",8.43568646,0x00,0x40
"SPI","disable",8.43568734,,
"SPI","enable",8.43568826,,
"SPI","result",8.43568852,0xCC,0x40
"SPI","result",8.43568914,0x00,0x40
"SPI","result",8.43569028,0x00,0x04
"SPI","result",8.4356909,0x00,0x40
"SPI","disable",8.43569176,,
"SPI","enable",8.43569316,,
"SPI","result",8.43569342,0xDA,0x40
"SPI","result",8.43569406,0x00,0x40
"SPI","result",8.43569518,0x00,0xAA
"SPI","result",8.4356958,0x00,0x55
"SPI","disable",8.43569668,,
"SPI","enable",8.43569732,,
"SPI","result",8.43569758,0xDA,0x55
"SPI","result",8.4356982,0x00,0x55
"SPI","result",8.43569934,0x00,0xAA
"SPI","result",8.43569996,0x00,0x55
"SPI","disable",8.43570084,,
"SPI","enable",8.4357015,,
"SPI","result",8.43570178,0xC2,0x55
"SPI","result",8.4357024,0x00,0x55
"SPI","result",8.43570352,0x00,0x0C
"SPI","result",8.43570414,0x00,0x5B
"SPI","disable",8.43570502,,
"SPI","enable",8.43570642,,
"SPI","result",8.4357067,0x4C,0x5B
"SPI","result",8.43570732,0x00,0x5B
"SPI","result",8.43570842,0x04,0x5B
"SPI","result",8.43570906,0x40,0x5B
"SPI","disable",8.43570992,,
"SPI","enable",8.43571096,,
"SPI","result",8.43571122,0xCD,0x5B
"SPI","result",8.43571184,0x00,0x5B
"SPI","result",8.43571298,0x00,0x00
"SPI","result",8.4357136,0x00,0x00
"SPI","disable",8.43571448,,
"SPI","enable",8.43571518,,
"SPI","result",8.43571544,0x4D,0x00
"SPI","result",8.43571606,0x00,0x00
"SPI","result",8.43571718,0x00,0x00
"SPI","result",8.4357178,0x47,0x00
"SPI","disable",8.43571868,,
"SPI","enable",8.48568958,,
"SPI","result",8.48568986,0xC2,0x00
"SPI","result",8.48569048,0x00,0x00
"SPI","result",8.4856916,0x00,0x0C
"SPI","result",8.48569222,0x00,0x5B
"SPI","disable",8.4856931,,
"SPI","enable",8.48569966,,
"SPI","result",8.48569992,0xC2,0x5B
"SPI","result",8.48570056,0x00,0x5B
"SPI","result",8.48570168,0x00,0x0C
"SPI","result",8.4857023,0x00,0x5B
"SPI","disable",8.48570318,,
"SPI","enable",8.48570434,,
"SPI","result",8.48570462,0x41,0x5B
"SPI","result",8.48570524,0x00,0x5B
"SPI","result",8.48570634,0x00,0x5B
"SPI","result",8.48570698,0x58,0x5B
"SPI","disable",8.48570784,,
"SPI","enable",8.48570878,,
"SPI","result",8.48570906,0x00,0x5B
"SPI","result",8.4857097,0x00,0x5B
"SPI","result",8.48571116,0xAA,0x5B
"SPI","result",8.48571178,0xAA,0x5B
"SPI","result",8.48571328,0xAA,0x5B
"SPI","result",8.4857139,0xAA,0x5B
"SPI","result",8.48571538,0x4E,0x5B
"SPI","result",8.485716,0x00,0x5B
"SPI","result",8.48571748,0x00,0x5B
"SPI","result",8.48571812,0x00,0x5B
"SPI","result",8.4857196,0x33,0x5B
"SPI","result",8.48572022,0x33,0x5B
"SPI","result",8.4857217,0xFF,0x5B
"SPI","result",8.48572234,0xFF,0x5B
"SPI","result",8.48572382,0xD3,0x5B
"SPI","result",8.48572444,0xE2,0x5B
"SPI","result",8.48572592,0xE0,0x5B
"SPI","result",8.48572656,0x0E,0x5B
"SPI","result",8.48572804,0xE1,0x5B
"SPI","result",8.48572866,0xFF,0x5B
"SPI","result",8.48573014,0xD3,0x5B
"SPI","result",8.48573076,0xE2,0x5B
"SPI","result",8.48573226,0x86,0x5B
"SPI","result",8.48573288,0xDD,0x5B
"SPI","result",8.48573436,0x60,0x5B
"SPI","result",8.48573498,0x00,0x5B
"SPI","result",8.48573648,0x00,0x5B
"SPI","result",8.4857371,0x00,0x5B
"SPI","result",8.48573858,0x00,0x5B
"SPI","result",8.4857392,0x18,0x5B
"SPI","result",8.4857407,0x3A,0x5B
"SPI","result",8.48574132,0xFF,0x5B
"SPI","result",8.4857428,0x00,0x5B
